"No.","Time","Source","Destination","Protocol","Length","Info"
"8","43.029376","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"9","43.054581","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"10","43.055050","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"11","43.082777","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"12","43.156190","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"13","43.176613","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"14","43.257604","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"15","43.278042","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"16","43.358453","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"17","43.376425","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"18","43.460180","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"19","43.477586","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"20","43.560757","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"21","43.603945","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"22","43.661768","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"23","43.760020","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"24","43.763831","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"25","43.783108","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"26","43.865608","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"27","43.884192","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"28","43.967330","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"29","43.984592","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
